大叔你误会了啊。	老汉身体不舒服，去医院看病。 医生对老汉说：“你要验血，验小便，验大便！” 老汉听后，急忙跑到卫生间去了。  一会，老汉回来对医生说：“咽血，咽	9 小时前 10:16 来自内涵段子
“你做什么工作？”	一个漂亮mm走进酒吧找了个角落坐下，侍者问：“请问要点什么？”mm道：“我刚才进来的时候有没有男人看我？”侍者感到很奇怪，答道：“没有	9 小时前 10:15 来自内涵段子
这就是最大的谎话	有个老实人不会说谎，说了谎总是被人拆穿！ 于是他就去请教了一个很会说谎的人，那个很会说谎的人教了他许多骗人技巧！ 教完后，他让老实人说一句谎话。  老实人想了半	9 小时前 10:15 来自内涵段子
你怎么连热的和凉的都分不清	男：你放心！我一定会娶你的！一定给你个交待！女：得等到什么时候？男：很快！离了婚就娶你！女：你什么时候离？男：很快，我和她明年结婚！结完就离！女：啊？为什么	9 小时前 10:15 来自内涵段子
到哪都认识你啊。	老虎被一个螃蟹给夹了！ 老虎猛追不舍，可螃蟹“嗖”的一下逃进池塘里了，老虎没追到。 于是老虎便在池塘边守着，心想，我就不信你不出来透气。  这时，突然	9 小时前 10:15 来自内涵段子
遇到事情要怎么说	司机上茅厕时，假若有人溘然打开门，司机遇说：“一块儿坐吧。”　　小民众汽车售票员小姐上茅厕时，假若有人拍门，她会说：“快上来！”　　饭馆	9 小时前 10:14 来自内涵段子
我们说的不是一件事吧	家里买了张新床，丈夫感慨：“这张床可够宽的，能睡三个人。”　　妻子一直想要孩子，便说：“只要你愿意，我没问题。”　　丈夫激动坏了，说：&	9 小时前 10:14 来自内涵段子
不是你想的那样的啊。	读大学时喜欢一个MM，面容甜美，身材姣好，当时没敢追，但关系不错，天天姐姐、姐姐的喊。 5年后，故地重游，去看望她。  去前发了个短信，说：“姐姐，5年没见了	9 小时前 10:14 来自内涵段子
就这样就吓怕了。	飞机上，空姐正在劝乘客们系好安全带。 空姐警告道：上次飞机迫降没系安全带的都摔的血肉模糊！ 一男子问：那系了安全带的呢？？  空姐答：没事，都坐的好好的，跟活人	9 小时前 10:14 来自内涵段子
治哑巴的药我这儿没有	一女同事，巨胖，每天晚上总跟着大妈们在广场跳舞。昨天拉着我去欣赏，完了问我跳得怎么样。我说：“我觉得你跳舞看起来就像一只小天鹅&hellip;&hellip;牌的滚桶	9 小时前 10:13 来自内涵段子
你唱这歌什么意思	一哥们被分手，最后求女友一起唱次歌，把我们都叫去了，在KTV里，他对女友说：就让我给你唱最后一个歌吧。我们以为要唱什么深情歌曲，打动女友让她回头呢，结果他点了	9 小时前 10:13 来自内涵段子
你有春运火车票，我还跟你好	女：我们分手吧。　　男：为什么？　　女：考试考完了，不用你在图书馆抢位置了。　　男：哦，可是我有两张春运的火车票。　　女：讨厌，其实人家和你开玩笑的。。。	9 小时前 10:13 来自内涵段子
为了结婚我容易吗	快要结婚了，专门去剪了个发型，可女友就说不好看，有点像锅盖。　　一天早上起来，头发乱乱的，女友说了句：“快去把锅盖洗一下！”	9 小时前 10:12 来自内涵段子
我又不是没人要了	有一同学结婚，结婚头天晚上女方说必须加3万彩礼钱，　　哥们他妈一听，马上回绝，这婚不结了。　　当晚就带着哥们出去相亲，真相中了，第二天照样结婚。	9 小时前 10:12 来自内涵段子
你是怎样看待房市的？	男女相亲，在茶馆相对而坐，语拙无题，　　男主动挑起话题：你是怎样看待房市的？　　女一愣低头沉默好一会：只要姿势不太古怪，我会尽量配合，但一定要让我喊出来。	9 小时前 10:12 来自内涵段子
这还是亲爸吗？？	和爸爸去买年货，在超市里遇见了熟人，见面免不了几句客套话。。。　　阿姨说我长的白，也变得漂亮了！　　我爸说，是啊，这都三天没洗脸了，要不然比这白！	9 小时前 10:12 来自内涵段子
因为我的床太乱了。	同桌来晚了，班头问他为啥来晚。同桌说：“因为我的床太乱了。”“所以你为了打扫就来晚了？”班头说。“不。”同桌说，“因为我	9 小时前 10:11 来自内涵段子
那我们怎么站在大海的边上·	一个妈妈和她的儿子站在大海边。　　妈妈说：“大海无边无际&middot;&middot;&middot;&middot;&middot;&middot;”　　儿子：“那我们怎么站在大海的边	9 小时前 10:11 来自内涵段子
其实我是个不爱学习的人。	前提，其实我是个不爱学习的人　　快考试了，我已经挂了三门课了，晚上和男友打电话叫他早点睡，我说晚上为了犯困我必须拿针扎自己让自己清醒！他随口来了一句就算把你	9 小时前 10:11 来自内涵段子
粑粑，我不上学了。	有一天，小明哭着对粑粑说:“粑粑，我不上学了，今天考试，我的成绩拖了全班的后腿，老湿就骂我：你个搅屎棍！”粑粑笑着说:“老师是在夸你呢！&rdquo	9 小时前 10:11 来自内涵段子
您真 是亲妈呀	老妈问我：“周末你怎么不去约会？”我说：“又没女的喜欢我。”老妈安慰我：“可能是因为你做的还不够好，假如有女的喜欢你，你愿意为她做	19-10-18 15:13 来自内涵段子
先检查好再吃	一猴子吃花生前都要先塞进屁股再拿出来吃。对此管理员解释道：曾有人喂它桃子，结果桃核拉不出来，猴子吓怕了，现在一定要量好再吃。	19-10-18 15:13 来自内涵段子
毕业生的悲催！	毕业后七年，总算接了个大工程，造一根三十米烟囱，工期两个月，造价三十万，不过要垫资。总算在去年年底搞完了。今天人家去验收，被人骂得要死，还没有钱拿。妈的!图	19-10-18 15:13 来自内涵段子
不要彩礼的老丈人。	我问老爸到我结婚她准备问男方要多少彩礼钱，老爸语重心长坚定地说：“不要了，养了你这个祸害嫁到人家家里我们就够愧疚了，人家肯把你弄走，搭钱都行。”	19-10-18 15:13 来自内涵段子
到底谁要冲啊～	刚在寝室大号，外面一个室友忍不住了，一直催我，我就出来对他说：那厕所你冲啊！后来他进去了马上一脸黑线地对我说：还是你冲吧，我可以再忍一会。	19-10-18 15:13 来自内涵段子
我用的是奥妙全自动！	说个上大学时候的事，寝室有位仁兄，整天对着电脑玩魔兽，衣服差不多一个星期洗一次，每次都是一大堆全放进盆里，用洗衣粉泡着，十几分钟后用水一冲搞定，问他都不用刷	19-10-18 15:12 来自内涵段子
毕业的留言，要毕业了。	高中毕业班的幽默毕业留言：　　班主任：你是一个聪明的学生，之所以其他人都不这么认为，那是因为我不了解你。　　班花：其实四年来我一直喜欢你！　　女友：其实四年	19-10-18 15:12 来自内涵段子
孙子跳楼了。这就是你孙子	一人经过一栋房子时，突然从二楼窗户飞下来一只用过的安全套，刚好落到他的头上。　　这人感到即恶心又恼火，于是他走到这栋房子的大门口，使劲敲打大门，　　一个老头	19-10-18 15:12 来自内涵段子
大家怎么看呢？	初中时候，一个平时特严厉的老师正在黑板抄题，说了一句不好意思抄错行了。正当班级静静的时候，二货同桌因为我踩到了他掉落的笔而大声咆哮到：你瞎啊！小伙伴们惊呆了	19-10-18 15:12 来自内涵段子
这个屌丝，必须分手	发烧了，躺在床上给男票发信息:“发烧了........”他回：“多喝水盖好被子”。我说：“39度9......”  本来以为，会像故事中的情节男朋	19-10-18 15:11 来自内涵段子
高考周年庆！我看行！	高考都考这么多年了，就不应该搞个周年店庆么？！考100送20，考200送50，考三百送100，考400送150，考500送200,600以上一律送300，不设上限！一本分数线77折，考上二本	19-10-18 15:11 来自内涵段子
你干嘛不说凶多吉少？	我们班是11个男生42个女生。昨晚开班会，老师为了打开我们的想象力，就问同学：同学们，请用一句话形容我们班。　　一女汉子开口就出：阴盛阳衰。　　一男生奇葩神回复	19-10-18 15:11 来自内涵段子
三个孙子肯定是我的…	一个老太太临死前，拉着老伴的手忏悔：“老头子，我跟你讲实话吧，我们那三个儿子，都不是你的。”老头子听罢宽慰老伴说：“没事，虽然三个儿子不是我	19-10-18 15:11 来自内涵段子
说好物品名称保密呢	刚开完会，掏出手机看到6个未接电话，还有一条信息！　　上面写着：“你女朋友在我手上，速回电话！”　　我去，这么嚣张？打过去听到：“你好，顺丰快	19-10-18 15:10 来自内涵段子
现在10086都猥琐了	和哥们一块玩真心话大冒险，一哥们输了选择大冒险，我们让他给10086打电话买卫生巾，电话通了，客服：欢迎致电10086，请问有什么需要帮助你的嘛？哥们：给我来一包卫生	19-10-18 15:10 来自内涵段子
可老司机总想开新车。	剩男是司机、剩女是车。　　司机技术越来越好，车却越来越旧。　　越旧的车越需老司机开才开的好，可老司机总想开新车。	19-10-18 15:10 来自内涵段子
我保护自己老婆就够了，别人的老婆不归我管	一天下雨，忽然打了一个炸雷，吓得素来怕雷声闪电的老妈一声尖叫，老爸连忙上前安慰“老婆，别怕，我保护你”。　　俺巨羡慕，就对老爸撒娇说“爸，我	19-10-18 15:10 来自内涵段子
两个人离婚：一是因为房事，二是因为房事	两个人离婚：一是因为房事，二是因为房事。　　女孩约的男孩迟到了有两个原因：1、睡过了。2、睡过了。	19-10-18 15:09 来自内涵段子
妈妈与有趣的女儿。	女儿读故事书时看到小肚鸡肠这个成语，问我是什么意思，我正忙着做饭：“你自己先想想，吃完饭我再告诉你。”　　吃饭的时候，女儿无精打采，扒拉了几口饭就	19-10-18 15:09 来自内涵段子
你们是怎么知道的。。。。。。	同学聚会，有一女同学喝得烂醉如泥，大家说打电话叫她老公来接吧。于是把她电话翻出来，找到备注老公的打过去叫他来接。  他老公来后，一女同学问他：你怎么证明是他老	19-10-18 15:09 来自内涵段子
这是一个有关全人类的行为统计	我想问一下大家，到底嘴唇上的死皮你们都是用牙齿在撕咬还是用手撕扯？撕完是吃下去还是吐掉？请严肃回答，这是一个有关全人类的行为统计。	19-10-18 15:09 来自内涵段子
潜水的那几个，出来接客！	从前有个富婆想去夜总会找乐子，老板挑了几个帅小伙，富婆都不满意；老板又挑了几个壮小伙，富婆还是不满意。老板问富婆到底想要怎么样的？富婆说：要体力好、精力旺、	19-10-18 15:08 来自内涵段子
将来找了男朋友可怎么办？	每次只要我一说到j8这两个字时 我寝室的妹子都要教育我说：“一个姑娘家家总把j8挂在嘴边，将来找了男朋友可怎么办？”　　“那就含在嘴里呗 还能怎么	19-10-18 15:08 来自内涵段子
尼玛，这是五岁的孩子？	。某晚，一男的请吃饭，我带上五岁的小表妹一起，席间，她小声的问我：姐姐，谁请客？我暗指了下我哥们。忽地，小表妹大声说：服务员，我还要份披萨，大份的。。。。尼	19-10-18 15:08 来自内涵段子
一定有人愿意陪他睡觉。	如果女人肯用吃饭的钱打扮自己，那么一定有人愿意请她吃饭。　　如果男人肯用睡觉的时间搞事业，那么一定有人愿意陪他睡觉。	19-10-18 15:08 来自内涵段子
你理解错大师的意思了。	年轻人问道禅师：“我志向高洁，出淤泥而不染，无法容纳这个污秽的世界。”　　禅师拿出一个袋子让年轻人把屋子里的垃圾装进去，年轻人很快就装满了，禅师又	19-10-18 15:07 来自内涵段子
关于胖子的解释。	A：“我终于明白了，东西受热会膨胀。”　　B：“恩，你说的没错。”　　A：“所以我不是胖，我只是热。	19-10-18 15:07 来自内涵段子
这大爷说话好内涵	李大爷说话经常不捡点，常闹出笑话。一天孙子闹着非要跟爷爷睡，李大爷见孙子脏得很就说：“去叫你妈把裤子脱了跟我睡。”媳妇听了认为大爷说话不中听，感觉	19-10-18 15:07 来自内涵段子
皇帝驾崩啦！快去禀报皇太后。	小时候放暑假跟一群孩子玩“新皇登基”，我抽中“皇帝”那一局因为在太阳下听“大臣”们上朝启奏时间太长，不幸中暑晕倒了，迷迷糊糊中	19-10-18 15:07 来自内涵段子
老婆漏气了，真TM扫兴！	一对男女短信聊天　　男：老婆漏气了，真TM扫兴！　　女：尼玛，老公漏电，更TM扫兴。	19-10-18 15:06 来自内涵段子
那头猪死的冤枉	"光盘行动"就是在学校吃食堂要 吃光盘子，不许有剩菜!班主任说："你 们扔掉饭菜的时候有没有想过多么对不 起辛苦的农民伯伯!"一同学站起来  说："食堂做饭的阿姨做的菜	19-10-15 09:45 来自内涵段子
你要是敢那么穿，我们就离婚!	今天下班的时候老公一直盯着一妹子看，口水都快流下来了。　　只见那妹子黑色高跟鞋，黑丝袜，黑色的超短群，上面是件黑色的吊带。　　于是我一脸要好地说：“老	19-10-15 09:44 来自内涵段子
将抢来的钱存入该银行	劫匪抢银行后不到一小时就跑到银行，将抢来的钱存入该银行，在存钱时被抓获。　　Pol.ice问劫匪为什么又回来时，劫匪说:“我想私房钱存在银行会比放在家里更安全	19-10-15 09:43 来自内涵段子
我不介意，没有钱可以挣	男：“我没钱。”　　女：“我不介意，没有钱可以挣。”　　男：“我没房子。”　　女：“我不介意，没房子可以租。”　　男	19-10-15 09:43 来自内涵段子
一晚上最多七次吧	一哥们儿跟女神表白，女神问:你能给我多少我想要的生活?那2B不加思索的说:一晚上最多七次吧.不能再多了  那女的表情复杂的看了看他.内心经过了激烈的挣扎后 像是打了一	19-10-15 09:42 来自内涵段子
插队还那么多废话!滚后面去	“亲爱的，未来的路很长，充满了未知，可能随时有危险，所以乖乖躲在我身后，让我保护你好吗?”............  “你谁啊?插队还那么多废话!滚后面去!&r	19-10-15 09:42 来自内涵段子
像这种坏的，我们是保证可以退换的	一个塑料厂推销员，在订货会上，向各地来宾介绍说：“本厂生产的印花薄膜雨披，经久耐用，式样新颖。”说着，他拿出一件往身上一披，突然发现这件雨披肩上破	19-10-15 09:42 来自内涵段子
暗恋已久的女神说她男朋友生病了	暗恋已久的女神说她男朋友生病了，好难过。　　我说没事，换个没病的就好了。然后，就没有然后了。。。	19-10-15 09:42 来自内涵段子
你真天真，都说了是微信	我和一个哥们抱怨：“这微信附近的人，看照片都像美女一样，其实本人基本很糟糕!”　　哥们淡淡一笑说：“你真天真，都说了是微信，要是都漂亮，那就应	19-10-15 09:42 来自内涵段子
听说小鹅贷款利率低	小白兔敲开了门，问道：“鹅妈妈，你家小鹅在没?”　　鹅妈妈回答：“你找他有什么事吗?”　　“我最近做生意有些缺钱”小白兔有些不好	19-10-15 09:41 来自内涵段子
"体育委员(一好色男生)说：""你去把全班女生清一下"	初中时，一日全校学生大会，班主任想让体育委员清点一下全班女生来齐没有。就对体育委员(一好色男生)说："你去把全班女生清一下。"体育委员受宠若惊，小声问："先亲&h	19-10-15 09:41 来自内涵段子
大师严肃道：“哎，下辈子	年轻人去算命。“大师我运气太差，做什么都不顺。”“不要跟人家比，有的人运气来的早，有的人来的晚，但早晚会来的。”“那我还要多久?&rd	19-10-15 09:39 来自内涵段子
很平静地说：你开的是后门	一女人学驾照，路考。前面的那个下车，轮到她了，很紧张!她从右侧下车，下车后绕到左侧，拉开车门&hellip;&hellip;紧接着一声大叫：教练!方向盘哪儿去了!考官回头看她	19-10-15 09:39 来自内涵段子
他突然对我吼到就钓到这么长一条	男友去河里钓鱼，中午去的晚上回来的!我问钓到多少?他做了一个八的手势，我说八斤?他摇摇头，我又问那是八条?他也摇摇头!我说那是多少?他突然对我吼到就钓到这么长一条	19-10-15 09:39 来自内涵段子
超市基本都装上了监控摄像头	这个社会的变化真是太快了，小的时候，妈妈给一块钱，我能从超市里拿一盒饼干，两袋面包，两瓶牛奶，还有几盒牙膏什么的，现在根本不行。毕竟现在超市基本都装上了监控	19-10-15 09:39 来自内涵段子
没过多久我就因私闯民宅被抓了	我身上曾发生了件奇怪的事，每次我回到家，就发现房间被人打扫的干干净净，餐桌上摆满了丰盛的饭菜。　　可是这屋里除了我没有别人在啊，难道说进了田螺姑娘?　　虽然	19-10-15 09:38 来自内涵段子
正好我也忘记关浴室澡盆的水龙头了	丈夫与妻子去外地旅游,中途两人正兴高采烈地坐在卧铺车厢里. "哎呀!"妻子突然叫了起来,"糟了!临出来时忙得我忘了把电熨斗的插头拔了,  这会儿家里还不全都烧着了.""别	19-10-15 09:38 来自内涵段子
昨晚怎么又喝醉酒了	丈夫喝醉酒回家，蹑手蹑脚地摸进盥洗室，找来一些橡皮膏，对着镜子，往自己酒醉闹事留下的伤口上贴，然后悄悄爬上床。  第二天早上，他被妻子摇醒了。妻子叫嚷道：&ld	19-10-15 09:37 来自内涵段子
迟到的抽烟同学跑着进屋	高中那会，班级所有人都调皮..商量好了，老师来了，一起喊老佛爷吉祥(女老师).不喊平身不坐下，老师进屋，班长起身，老佛爷吉祥.喊的震耳欲聋...怎料有三个迟到的抽烟	19-10-15 09:33 来自内涵段子
玩拼图地妹子伤不起呀	昨天去饭馆聚餐，邻桌妹子要了一个酱猪蹄，服务员端上了一个猪蹄，随口问需不需要切一下，妹子同意了。很快切好的猪蹄就又端上来了，这时只见她用筷子夹着猪蹄拼了起来	19-10-15 09:33 来自内涵段子
坐累了，下去溜达一下	今天坐公车，结果我提前一站下车了，下车发现不对，我用飞快的速度又从前门上车，结果售票员问我你干什么去了，我说坐累了，下去溜达一下。。。老子太机智了额!!!	19-10-15 09:33 来自内涵段子
喝咖啡的步骤是	有个同学，喝咖啡的步骤是，先把一袋速溶咖啡粉倒入口中，之后灌一口凉水，再之后像羊癫疯发作一样抽搐自己的身体，结束了。	19-10-15 09:32 来自内涵段子
拆开烟递给他一支	今天去买了包玉溪给他二十块，老板非得要二十一块。没办法只好拆开烟递给他一支，永远忘不了小店老板看我离开的眼神。	19-10-15 09:31 来自内涵段子
你听我解释，我真没下毒	一直以来都是老公做饭，昨天，姐们心血来潮要做午饭，让老公边看电视边等。经过一番搏斗，午饭终于做好了。于是喊老公吃饭，本想说老公，坐着等吃的感觉不错吧?结果说	19-10-15 09:31 来自内涵段子
看见吃的：去你妹的减肥!	看到体重计上的数字：我要减肥。买衣服的时候：我要减肥。碰到身材好的人：我要减肥。看见镜子里的自己：我要减肥。遇到喜欢的人：我要减肥。看见吃的：去你妹的减肥!	19-10-15 09:31 来自内涵段子
你怎么走两步就吐一次口水啊?	一同事，抽完烟酷爱吐口水，今天又是。一路边走边吐，旁边的同事看不下去了问“你怎么走两步就吐一次口水啊?”这货扭头来了一句“我怕迷路啊。。。&rd	19-10-15 09:31 来自内涵段子
我身份证也被吞了!!	刚才在ATM取钱时，前面一妹子好像连续都输错密码，然后卡被吞了&hellip;&hellip;回头看我一眼，问我该怎么办，我说没事，用身份证可以取回!然后LZ看她好像从兜里掏什么	19-10-15 09:30 来自内涵段子
我在太阳北边	二货同学来找我不认路，我去火车站接她没找到她，打电话问她身边有什么好点的标志性东西，她说：我在太阳北边……大中午头的，尼玛整个城市都在太阳北边!	19-10-15 09:30 来自内涵段子
你包里的手机都TMD响了半天啦	上班途中路遇女同事，女同事美滋滋的挎着新买的貂皮包和我一起走在路上。　　我指了指她的包，她骄傲的说：新买的!　　我又指了指她的包，她说：不贵，才两万多!　　我	19-10-15 09:27 来自内涵段子
这个养大了能不能煲汤	几年前的事，跟一朋友上花鸟市场买宠物，你一定想不到他选宠物的标准是什么，在一家卖小乌龟的店里问：这个养大了能不能煲汤?	19-10-15 09:26 来自内涵段子
我就要个可乐，你们就疯啦?	飞机落地前，乘务员要做好各种物品的签封工作。可刚签封完饮料，就有旅客要可乐，乘务员对旅客说：“我们都封了。”客人很不理解：“我就要个可乐，你	19-10-15 09:26 来自内涵段子
娃是个好娃，就是反应慢了点	鬼子扫荡俺们村，把村民集中到村口并喊到：”是八路的站出来!”俺们都向后退了一步而刘胡兰没动，结果被残忍的杀害。后面有个老汉说：娃是个好娃，就是反应	19-10-15 09:26 来自内涵段子
我们的飞机滑得还行	飞机落地了，还在滑行，旅客就都站起来拿行李，为了安全，要广播“女士们，先生们，我们的飞机还在滑行，请您坐好，并关闭头顶上方的行李架”结果一着急广播	19-10-11 10:10 来自内涵段子
我们的飞机已经抵达首都北京东直门机场	飞机落地了，由于广播的乘务员老想着赶班车去东直门，于是广播成了“女士们，先生们，我们的飞机已经抵达首都北京东直门机场” 旅客疯了。。。	19-10-11 10:09 来自内涵段子
凤凰欲火焚身	同学的毕业作品是用大红布做成凤凰状缝在黑色的袍状服装上.　　答辩的老师问：为什么凤凰要用红色而不是其它颜色?　　那位同学一激动就脱口而出：因为凤凰欲火焚身!!(	19-10-11 10:09 来自内涵段子
搞笑段子：天仙妹妹	晚自习回宿舍，路遇一天仙mm，遂尾随　　一直想搭讪，却无胆上前，直到天仙mm即将走入女生楼　　牙一咬，跨步上前，大声问那位mm：同学，请问你是女的吗?　　后来&hel	19-10-11 10:09 来自内涵段子
我们公司统一不着装	在公司接了个电话，是制衣公司推销的，不停的说给某某大公司做过统一服装之类。本人逮到对方说话间隙，冲口一句：“我们公司统一不着装!”　　对方悄声几秒	19-10-11 10:09 来自内涵段子
你给我肚子搞大了想抛弃我	邻居大哥三十左右，两口子拌嘴，她老婆嚷嚷的要离婚。　　只听大哥说：“你想的美，当年我英俊潇洒，现在你给我肚子搞大了想抛弃我。”说完摸了摸啤酒肚。。	19-10-11 10:09 来自内涵段子
主持人各种无节操	参加同学的婚礼，主持人各种无节操，介绍新郎时：“王先生年轻有为，事业有成，但却把自己青春时最宝贵的东西献给了他的右手”　　全场爆笑，新郎一脸尴尬，	19-10-11 10:08 来自内涵段子
把你加上，就不会再摇到了。	刚才微信摇一摇，有个哥们加我好友，我吓一跳，以为是基佬，然后问他什么事，他说：一个女的都摇不到，总是摇到你，把你加上，就不会再摇到了。	19-10-11 10:08 来自内涵段子
我的毛，都给你了，所以没有毛了。	一次去市场买菜，准备聚餐，一个韩国朋友买了生菜，要2块4，他把身上所有的零钱都给了小贩，还缺一毛钱，所以他对小贩说--　　“我的毛，都给你了，所以没有毛了	19-10-11 10:08 来自内涵段子
有这么帅的班主任还藏着掖着	这样不好吧　　小侄子在学校跟同学打架，班主任喊家长去，恰好大哥大嫂不在家就派我去了。　　到了学校才发现他的班主任好帅，回来的路上我严肃地对他说  “小兔	19-10-11 10:07 来自内涵段子
吐着吐着它变成了馒头	一个肉包子，有一天它去喝酒，结果它喝醉了，于是它一边走一边扶着电线杆吐，吐着吐着它变成了馒头。	19-10-11 10:07 来自内涵段子
尼玛居然是上下铺	某人和媳妇到知名景区旅游，订的是双人间，结果去了宾馆一看，尼玛居然是上下铺!!	19-10-11 10:07 来自内涵段子
穿的长裤给洗淋浴啊怕湿了	乖乖女　　楼主女，有一四岁闺女。今天照例给女儿洗澡，因为天冷了，穿的长裤给洗淋浴啊怕湿了（剩内裤），我女儿说妈妈你怎么长毛毛了，我不好解释就说那是线头！！她	19-10-11 10:07 来自内涵段子
看到最后才发现是怎么回事	看到最后才发现是怎么回事	19-10-11 10:07 来自内涵段子
我明天一早就把支票寄过去	竞选助理：“议员先生，有个歇斯底里的女人在电话中吼叫，她想知道你对堕胎有什么看法。”参议员：“呃，告诉她，我明天一早就把支票寄过去！”	19-10-11 10:06 来自内涵段子
车爆胎竟然发生了这个	酒蒙子&hellip;　　有一次车爆胎了，推到路边换备胎。取出备胎后没关后备箱门，正用千斤顶转的起劲，“咣”一声巨响&hellip;吓一身汗，赶紧跑后面去看，原来	19-10-11 10:06 来自内涵段子
原来看病就这么简单呀	身体有点不舒服，去看医生。“哦，不舒服啊？来，咳嗽一下我听听&hellip;&hellip;好，再咳两声&hellip;&hellip;嗯，你这个情况啊我清楚了：你呢，是咳嗽。&rdquo	19-10-11 10:06 来自内涵段子
我一直姓福	紫薇：尔康，你幸福吗？尔康：紫薇，你忘了吗，我一直姓福。	19-10-11 10:05 来自内涵段子
你要帮我断后。	刘备正休息，帐外传来喊杀之声，关羽冲进帐来：“我们被包围了，大哥快走！”刘备大惊：“云长，你要帮我断后。”“没问题！”关羽手起	19-10-11 10:05 来自内涵段子
姐姐万万不可啊	法海一往情深的喊道：“素贞！许仙只是凡人，人妖殊途！老衲可是法力无边，就从了我吧！”白素贞听后，十分犹豫！突然，小青赶到，急忙喊道：“姐姐万	19-10-11 10:05 来自内涵段子
致伟大的快递哥哥	他可以准确叫出你的名字，尽管你连他姓什么都不知道；他坚持每月来你家并每次都带着你喜爱的东西；他可以看着你睡眼蒙眬、穿睡衣的样子也不嫌弃地索要你的签名。他，就	19-10-11 10:05 来自内涵段子
可是他长得不行啊	女A：你新男朋友怎么样？女B：长得不行。女A：那你为啥还跟他在一起？女B：可是他长得不行啊！	19-10-11 10:05 来自内涵段子
媳妇发现婆婆有了外遇	公公和丈夫都外出打工了，所以婆媳俩在家实在无聊！婆婆教导媳妇说：“想男人的时候，一定要咬牙坚持住！”不久，媳妇发现婆婆有了外遇！媳妇大怒道：&ldqu	19-10-11 10:04 来自内涵段子
你现在一定很着急	临别之际师父送我一枚锦囊，并嘱咐我紧要关头再打开。隔年，大军压境，城内人心涣散。我突然想起师父赐我的锦囊。将其打开只见上书八个大字：“你现在一定很着急	19-10-11 10:04 来自内涵段子
刚刚被一辆法拉利超车	刚刚被一辆法拉利超车，老婆问，车标是匹马的是啥车？　　我说，法拉利。　　老婆：牛呢？　　我：兰博基尼。　　老婆：羊呢？　　我：道奇。　　老婆：粪叉子呢？	19-10-11 10:04 来自内涵段子
自从结婚后，它是越来越大	老婆：“哎哟，老公它又大了。”　　老公：“别摸了，怪不好意思了！”　　老婆：“自从结婚后，它是越来越大了。” 　　老公：“	19-10-11 10:03 来自内涵段子
我还不知道你叫什么	今天吴老二终于睡到自然醒，他伸了伸懒腰，看了看旁边的女人，微笑着说：“嗨！我还不知道你叫什么。”“我也不知道你叫什么，不过我知道你这科肯定挂	19-10-11 10:03 来自内涵段子
师傅前面小区右拐三楼。	三楼不好调头　　昨晚打车送一喝醉朋友回家，快到家时二货说：“师傅前面小区右拐三楼。”　　师傅说：“这下吧，三楼不好调头”	19-10-11 10:03 来自内涵段子
